CR	RF	RF-CAT	SEXO	IDA-IN	IDA-SUP	IDA-MÉD	TC	NC	TO	ME	TC-NC-TO	TURNO	ANO	MAT	EVA	COM	TE
PAR	0,5	0,5	F	50	54	52	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	F	50	54	52	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PAR	0,5	0,5	M	15	19	17	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	20	24	22	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	2	0	2	0%
PAR	0,5	0,5	M	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	0	2	0%
PAR	0,5	0,5	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	1	1	50%
PAR	0,5	0,5	M	25	29	27	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR	0,5	0,5	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PAR	0,5	0,5	M	30	34	32	FIC	DES	CON	P	FIC-DES-CON	NOT	2017	1	1	0	100%
PAR	0,5	0,5	M	30	34	32	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR	0,5	0,5	M	35	39	37	FIC	DES	CON	P	FIC-DES-CON	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	35	39	37	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR	0,5	0,5	M	40	44	42	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	50	54	52	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	M	50	54	52	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1	1	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PAR	1	1	F	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1	1	M	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR	1	1	M	20	24	22	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1	1	M	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1	1	M	40	44	42	FIC	MFC	CON	P	FIC-MFC-CON	NOT	2017	1	0	1	0%
PAR	1	1	M	40	44	42	FIC	DES	CON	P	FIC-DES-CON	VES	2017	1	0	1	0%
PAR	1	1	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PAR	1	1	M	50	54	52	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1,5	1,5	M	20	24	22	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR	1,5	1,5	M	35	39	37	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
PAR	1,5	1,5	M	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR	1,5	1,5	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
PAR	2,5	2,5	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR	5	5	M	40	44	42	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR		ND	F	15	19	17	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
PAR		ND	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PAR		ND	F	20	24	22	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	2	1	1	50%
PAR		ND	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	4	4	0	100%
PAR		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PAR		ND	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	1	1	50%
PAR		ND	F	30	34	32	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PAR		ND	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	2	0	100%
PAR		ND	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR		ND	F	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR		ND	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PAR		ND	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	3	1	2	33%
PAR		ND	F	35	39	37	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PAR		ND	F	35	39	37	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PAR		ND	F	40	44	42	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PAR		ND	F	40	44	42	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR		ND	F	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR		ND	F	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	3	3	0	100%
PAR		ND	F	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PAR		ND	F	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR		ND	F	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	3	0	3	0%
PAR		ND	M	15	19	17	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	2	1	1	50%
PAR		ND	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PAR		ND	M	20	24	22	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	25	29	27	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
PAR		ND	M	25	29	27	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PAR		ND	M	25	29	27	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
PAR		ND	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR		ND	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	1	1	50%
PAR		ND	M	30	34	32	FIC	PEP	CON	P	FIC-PEP-CON	NOT	2017	1	1	0	100%
PAR		ND	M	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR		ND	M	30	34	32	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	3	2	1	67%
PAR		ND	M	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PAR		ND	M	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	35	39	37	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
PAR		ND	M	40	44	42	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
PAR		ND	M	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR		ND	M	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PAR		ND	M	40	44	42	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	3	0	3	0%
PAR		ND	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	0	2	0%
PAR		ND	M	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR		ND	M	50	54	52	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PAR		ND	M	50	54	52	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	2	0	100%
PRE	0,5	0,5	F	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PRE	0,5	0,5	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PRE	0,5	0,5	M	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PRE	0,5	0,5	M	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PRE	0,5	0,5	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PRE	0,5	0,5	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PRE	0,5	0,5	M	25	29	27	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE	0,5	0,5	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PRE	0,5	0,5	M	30	34	32	FIC	DES	CON	P	FIC-DES-CON	NOT	2017	1	0	1	0%
PRE	0,5	0,5	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
PRE	0,5	0,5	M	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PRE	1	1	F	15	19	17	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PRE	1	1	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PRE	1	1	M	20	24	22	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE	3,5	3,5	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PRE	5	5	M	60	64	62	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE		ND	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PRE		ND	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PRE		ND	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PRE		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PRE		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	2	0	100%
PRE		ND	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PRE		ND	F	25	29	27	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE		ND	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	1	1	50%
PRE		ND	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PRE		ND	M	15	19	17	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
PRE		ND	M	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
PRE		ND	M	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
PRE		ND	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PRE		ND	M	25	29	27	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	2	0	2	0%
PRE		ND	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
PRE		ND	M	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
PRE		ND	M	30	34	32	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	0	2	0%
PRE		ND	M	35	39	37	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	2	0	100%
PRE		ND	M	40	44	42	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE		ND	M	50	54	52	FIC	PEP	CON	P	FIC-PEP-CON	NOT	2017	1	1	0	100%
PRE		ND	M	50	54	52	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
PRE		ND	M	50	54	52	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
PRE		ND	M	50	54	52	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
ND	0,5	0,5	M	15	19	17	FIC	DES	CON	P	FIC-DES-CON	VES	2017	1	0	1	0%
ND		ND	F	15	19	17	FIC	ADS	CON	P	FIC-ADS-CON	INT	2017	3	1	2	33%
ND		ND	F	15	19	17	FIC	CTECL	CON	P	FIC-CTECL-CON	INT	2017	6	2	4	33%
ND		ND	F	20	24	22	FIC	ADS	CON	P	FIC-ADS-CON	INT	2017	1	1	0	100%
ND		ND	F	20	24	22	FIC	CTECL	CON	P	FIC-CTECL-CON	INT	2017	2	0	2	0%
ND		ND	F	20	24	22	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
ND		ND	F	20	24	22	FIC	MFC	CON	P	FIC-MFC-CON	NOT	2017	2	1	1	50%
ND		ND	F	20	24	22	FIC	DES	CON	P	FIC-DES-CON	VES	2017	1	0	1	0%
ND		ND	F	25	29	27	FIC	ADS	CON	P	FIC-ADS-CON	INT	2017	2	1	1	50%
ND		ND	F	25	29	27	FIC	MFC	CON	P	FIC-MFC-CON	NOT	2017	1	1	0	100%
